AAAA;NOM_USUEL;TMM;TXAB;TXMIN;RR;NBJTX25;RRAB;TMM_ma5;ville
2015;LYON-BRON;13.7;39.2;0.5;697.6;89.0;45.4;13.2;lyon
2016;LYON-BRON;12.9;34.9;0.8;791.6;86.0;44.5;13.0;lyon
2017;LYON-BRON;13.4;37.9;-2.7;549.4;101.0;30.9;13.2;lyon
2018;LYON-BRON;14.2;37.0;-1.6;807.7;125.0;45.8;13.6;lyon
2019;LYON-BRON;13.8;40.4;2.1;772.1;98.0;48.0;13.6;lyon
2020;LYON-BRON;14.3;39.9;0.9;658.5;110.0;48.6;13.7;lyon
2021;LYON-BRON;12.8;35.4;-0.8;963.1999999999999;86.0;105.9;13.7;lyon
2022;LYON-BRON;14.4;38.9;-1.7;620.1999999999999;115.0;39.4;13.9;lyon
2023;LYON-BRON;14.3;41.4;1.6;717.8000000000001;123.0;54.3;13.9;lyon
2024;LYON-BRON;13.7;38.1;-1.7;989.3;83.0;74.1;13.9;lyon
2025;LYON-BRON;13.7;39.6;0.0;733.1;96.0;44.3;13.8;lyon
1921;MARIGNANE;;38.5;6.1;190.8;146.0;26.3;;marseille
1922;MARIGNANE;;39.2;5.3;365.5;118.0;31.4;;marseille
1923;MARIGNANE;;38.9;4.0;577.3;108.0;95.1;;marseille
1924;MARIGNANE;;35.0;3.8;628.5;111.0;53.6;;marseille
1925;MARIGNANE;;34.2;3.0;485.8;108.0;65.1;;marseille
1926;MARIGNANE;;35.9;0.6;588.6;125.0;41.2;;marseille
1927;MARIGNANE;;34.1;0.7;610.3;113.0;49.5;;marseille
1928;MARIGNANE;;35.9;6.0;659.1999999999999;106.0;81.8;;marseille
1929;MARIGNANE;;33.9;-5.9;366.5;115.0;30.9;;marseille
1930;MARIGNANE;;34.2;5.5;596.1;106.0;39.8;;marseille
1931;MARIGNANE;;35.8;2.2;476.5;95.0;40.5;;marseille
1932;MARIGNANE;;36.4;-0.3;884.0;96.0;212.3;;marseille
1933;MARIGNANE;;37.2;-1.7;599.1;101.0;70.0;;marseille
1934;MARIGNANE;;32.2;3.7;658.1;115.0;55.1;;marseille
1935;MARIGNANE;;37.4;1.4;636.1999999999999;96.0;68.6;;marseille
1936;MARIGNANE;;34.0;5.1;509.5;99.0;37.8;;marseille
1937;MARIGNANE;;34.4;2.8;141.6;112.0;57.2;;marseille
1938;MARIGNANE;;35.1;0.5;568.1;75.0;66.8;;marseille
1939;MARIGNANE;;31.6;2.8;367.1;83.0;42.8;;marseille
1940;MARIGNANE;;30.2;-3.0;436.4;79.0;61.0;;marseille
1941;MARIGNANE;;35.6;-4.0;772.1;80.0;74.9;;marseille
1942;MARIGNANE;;32.4;-1.0;507.4;117.0;55.3;;marseille
1943;MARIGNANE;;33.8;6.1;94.3;36.0;15.2;;marseille
1945;MARIGNANE;;29.4;-2.0;234.3;19.0;58.7;;marseille
1946;MARIGNANE;;33.2;1.5;391.8;99.0;24.8;;marseille
1947;MARIGNANE;;39.0;-1.2;570.5;122.0;56.5;;marseille
1948;MARIGNANE;;32.0;2.6;656.2;83.0;79.5;;marseille
1949;MARIGNANE;14.6;34.4;4.6;505.3;120.0;44.3;;marseille
1950;MARIGNANE;14.5;39.0;3.0;355.4;109.0;34.4;;marseille
1951;MARIGNANE;14.4;33.0;6.8;802.5;100.0;43.7;;marseille
1952;MARIGNANE;14.5;37.0;2.9;387.0;105.0;33.1;;marseille
1953;MARIGNANE;14.2;33.0;2.8;478.59999999999997;102.0;54.7;14.4;marseille
1954;MARIGNANE;13.7;33.0;-2.2;490.1;83.0;45.2;14.3;marseille
1955;MARIGNANE;14.6;33.4;4.8;442.3;90.0;31.2;14.3;marseille
1956;MARIGNANE;13.2;33.9;-9.2;573.8;90.0;58.0;14.0;marseille
1957;MARIGNANE;14.2;34.8;3.6;514.8;81.0;38.0;14.0;marseille
1958;MARIGNANE;14.5;34.3;3.3;403.7;110.0;37.7;14.0;marseille
1959;MARIGNANE;14.9;34.9;3.1;707.0;97.0;85.8;14.3;marseille
1960;MARIGNANE;14.4;32.2;-2.9;705.8000000000001;99.0;80.6;14.2;marseille
1961;MARIGNANE;15.3;32.9;5.4;575.6;106.0;52.4;14.7;marseille
1962;MARIGNANE;14.6;33.4;-2.8;447.0;102.0;35.2;14.7;marseille
1963;MARIGNANE;12.2;33.2;-3.2;681.7;74.0;96.0;14.3;marseille
1964;MARIGNANE;18.3;34.4;1.0;489.2;112.0;34.3;15.0;marseille
1965;MARIGNANE;15.1;34.4;4.7;471.0;85.0;40.0;15.1;marseille
1966;MARIGNANE;;34.6;0.6;547.8;98.0;45.4;;marseille
1967;MARIGNANE;20.5;33.0;0.6;221.7;100.0;24.1;;marseille
1968;MARIGNANE;7.3;35.3;3.3;645.3;88.0;64.0;;marseille
1969;MARIGNANE;12.0;35.0;1.3;624.0;78.0;52.8;;marseille
1970;MARIGNANE;22.2;34.4;3.6;498.2;108.0;67.5;;marseille
1971;MARIGNANE;13.0;35.8;-0.8;562.5;103.0;53.4;15.0;marseille
1972;MARIGNANE;12.7;33.6;6.0;901.5;70.0;104.7;13.4;marseille
1973;MARIGNANE;;34.8;0.2;730.2;111.0;161.3;;marseille
1974;MARIGNANE;14.8;33.9;6.2;630.4;96.0;65.7;;marseille
1975;MARIGNANE;18.6;35.0;5.2;535.3;96.0;47.5;;marseille
1976;MARIGNANE;;34.1;5.0;836.2;95.0;102.2;;marseille
1977;MARIGNANE;20.6;31.9;4.6;646.9;80.0;51.0;;marseille
1978;MARIGNANE;9.0;33.8;3.0;551.5;93.0;57.8;;marseille
1979;MARIGNANE;16.8;36.0;0.1;615.5;114.0;56.0;;marseille
1980;MARIGNANE;14.1;34.9;2.0;348.0;94.0;41.6;;marseille
1981;MARIGNANE;14.6;38.6;3.2;444.1;102.0;35.2;15.0;marseille
1982;MARIGNANE;15.4;37.4;5.7;371.5;120.0;42.5;14.0;marseille
1983;MARIGNANE;14.6;39.7;4.5;524.7;104.0;62.0;15.1;marseille
1984;MARIGNANE;13.8;34.5;4.0;588.1;84.0;85.6;14.5;marseille
1985;MARIGNANE;14.0;34.9;-5.1;476.7;107.0;39.8;14.5;marseille
1986;MARIGNANE;14.4;33.5;-4.1;562.5;115.0;44.6;14.4;marseille
1987;MARIGNANE;14.1;35.9;-1.0;636.6;98.0;51.6;14.2;marseille
1988;MARIGNANE;14.5;33.9;4.3;412.5;95.0;63.0;14.2;marseille
1989;MARIGNANE;15.6;34.6;8.5;261.0;115.0;42.0;14.5;marseille
1990;MARIGNANE;15.1;33.3;3.1;499.2;115.0;25.2;14.7;marseille
1991;MARIGNANE;14.7;35.4;3.1;431.3;103.0;49.2;14.8;marseille
1992;MARIGNANE;15.0;37.0;7.3;369.8;104.0;37.0;15.0;marseille
1993;MARIGNANE;15.0;35.5;2.8;538.4;107.0;115.0;15.1;marseille
1994;MARIGNANE;15.9;36.3;6.6;690.4;106.0;80.0;15.1;marseille
1995;MARIGNANE;15.3;34.3;2.6;616.8;89.0;43.2;15.2;marseille
1996;MARIGNANE;15.0;33.6;3.0;701.6;89.0;48.0;15.2;marseille
1997;MARIGNANE;15.9;32.9;6.7;388.8;126.0;40.2;15.4;marseille
1998;MARIGNANE;15.0;35.5;4.9;520.8;111.0;146.0;15.4;marseille
1999;MARIGNANE;15.4;34.9;2.3;616.2;123.0;68.6;15.3;marseille
2000;MARIGNANE;15.8;37.7;7.5;629.4;120.0;62.0;15.4;marseille
2001;MARIGNANE;15.5;36.5;1.4;351.0;109.0;42.0;15.5;marseille
2002;MARIGNANE;15.7;34.7;8.4;813.6;102.0;54.2;15.5;marseille
2003;MARIGNANE;16.0;37.7;-0.2;534.2;130.0;68.2;15.7;marseille
2004;MARIGNANE;15.2;33.8;5.1;312.9;126.0;29.3;15.6;marseille
2005;MARIGNANE;15.8;35.4;1.9;479.9;114.0;55.8;15.6;marseille
2006;MARIGNANE;16.2;37.3;5.8;315.6;137.0;49.0;15.8;marseille
2007;MARIGNANE;15.6;38.4;3.5;308.5;137.0;50.0;15.8;marseille
2008;MARIGNANE;15.5;36.3;5.2;642.6;100.0;47.2;15.7;marseille
2009;MARIGNANE;15.9;36.1;0.0;818.4000000000001;136.0;104.2;15.8;marseille
2010;MARIGNANE;14.7;34.7;0.1;609.9;116.0;37.2;15.6;marseille
2011;MARIGNANE;16.0;34.9;6.3;510.6;135.0;56.6;15.5;marseille
2012;MARIGNANE;15.6;35.8;-1.0;440.9;130.0;63.3;15.5;marseille
2013;MARIGNANE;15.0;36.3;2.1;540.9;115.0;37.9;15.4;marseille
2014;MARIGNANE;16.6;35.2;6.1;689.5;138.0;48.7;15.6;marseille
2015;MARIGNANE;16.1;36.0;2.6;529.0;125.0;41.6;15.9;marseille
2016;MARIGNANE;16.1;35.1;7.8;332.8;123.0;27.6;15.9;marseille
2017;MARIGNANE;16.0;39.2;4.7;304.8;128.0;41.9;16.0;marseille
2018;MARIGNANE;16.6;37.9;4.3;825.0;140.0;71.8;16.3;marseille
2019;MARIGNANE;16.2;39.6;6.8;644.9;123.0;71.9;16.2;marseille
2020;MARIGNANE;16.3;37.9;6.6;454.4;121.0;86.1;16.2;marseille
2021;MARIGNANE;15.7;37.9;3.1;539.2;125.0;40.3;16.2;marseille
2022;MARIGNANE;17.3;39.1;6.4;353.4;160.0;42.9;16.4;marseille
2023;MARIGNANE;16.6;37.7;6.3;287.2;145.0;41.6;16.4;marseille
2024;MARIGNANE;16.5;37.0;5.6;556.2;116.0;55.8;16.5;marseille
2025;MARIGNANE;16.8;38.9;5.9;710.2;127.0;110.0;16.6;marseille
